EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788491048961;JANE EYRE;BRONTË, CHARLOTTE;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788491047957;REGRESO SHERLOCK HOLMES;DOYLE, ARTHUR CONAN;ALIANZA EDITORIAL;2;14,90;14,15;29,80;
'9788411480345;DUBLINESES;JOYCE, JAMES;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9788411483377;NUESTROS INESPERADOS HER;MAALOUF, AMIN;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9788411483773;MUERTE SÚBITA;CHACÓN, ISIDORA;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9788413621401;MUJERES & MUJERES. CUENT;MADRID, JUAN;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9788413621449;BARES NOCTURNOS;MADRID, JUAN;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9791370090777;COLMILLO BLANCO;LONDON, JACK;ALIANZA EDITORIAL;2;14,50;13,77;29,00;
'9788420609102;CARTAS A UN JOVEN POETA;RILKE, RAINER Mª;ALIANZA EDITORIAL;2;13,50;12,82;27,00;
'9788420637303;ANTOLOG.POÉTICA(CERNUDA);CERNUDA, LUIS;ALIANZA EDITORIAL;2;12,95;12,30;25,90;
'9788420651361;LA METAMORFOSIS;KAFKA, FRANZ;ALIANZA EDITORIAL;2;12,95;12,30;25,90;
'9788420693934;DESTRIPADOR DE ANTAÑO;PARDO BAZÁN, EMILIA;ALIANZA EDITORIAL;2;12,95;12,30;25,90;
'9788411480437;NACIONALIDAD Y NACIONALI;BERLIN, ISAIAH;ALIANZA EDITORIAL;2;12,50;11,88;25,00;
'9788411481175;LA RUBIA DE HORMIGÓN [AD;CONNELLY, MICHAEL;ALIANZA EDITORIAL;2;12,50;11,88;25,00;
'9788413621524;CIRCE [ADN];MILLER, MADELINE;ALIANZA EDITORIAL;2;12,50;11,88;25,00;
