EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788439743941;OCASO Y FASCINACIÓN;BALTASAR, EVA;RANDOM HOUSE;1;18,90;18,90
9788439735441;MAMUT;BALTASAR, EVA;RANDOM HOUSE;1;17,90;17,90
9788420478791;ANTIGUA LUZ;BANVILLE, JOHN;ALFAGUARA;1;17,90;17,90
9788499929743;UNA TIERRA PROMETIDA;BARACK OBAMA;TUSQUETS EDITORES;1;12,00;12,00
9788484728139;ROSAS NEGRAS;BARBA-JACOB,PORFIRIO;EDITORIAL RENACIMIENTO;1;12,00;12,00
9788419378323;AMANDA BLACK 9 - EL CAMINO DEL NINJA;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788418054327;AMANDA BLACK 2 - EL AMULETO PERDIDO;"BÁRBARA ;MONTES";B DE BLOK;1;15,95;15,95
9788418688270;AMANDA BLACK 4 - LA CAMPANA DE JADE;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788418688287;AMANDA BLACK 5 - EL TAÑIDO SEPULCRAL;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788418688355;AMANDA BLACK 6 - LA MALDICIÓN DEL NILO;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788419048172;AMANDA BLACK - ESCAPE BOOK: EL SECRETO DE LA MANSI;"BÁRBARA ;MONTES";B DE BLOK;1;13,95;13,95
9788419910547;AMANDA BLACK 10 - LA PELÍCULA MALDITA;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788419910509;AMANDA BLACK 11 - EL TEMPLO OLVIDADO;"BÁRBARA ;MONTES";B DE BLOK;2;31,90;15,95
9788419048677;AMANDA BLACK 7 - EL BASTÓN DEL CUERVO;"BÁRBARA ;MONTES;JUAN;MONTES";B DE BLOK;2;31,90;15,95
9788401037689;YO BARBARA;BÁRBARA REY;PLAZA&JANES;1;23,90;23,90
9788412661828;LAS INCONSTANTES;BARBARELLA D´ACEVEDO ED.;HURÓN AZUL;2;32,00;16,00
9788418359675;SEIS DE CUERVOS - RTC 19ªED;BARDUGO,LEIGH;EDITORIAL HIDRA;1;19,50;19,50
